X,Y,Top,Bottom
0,0,24,6
0,1,24,6
0,2,24,6
0,3,24,7
0,4,23,7
0,5,23,7
0,6,23,7
0,7,23,7
0,8,23,8
0,9,23,8
0,10,23,9
0,11,23,9
0,12,22,9
0,13,22,9
0,14,22,9
0,15,21,9
0,16,21,8
0,17,21,8
0,18,20,8
0,19,20,8
0,20,20,8
0,21,20,8
0,22,21,9
0,23,21,9
0,24,21,9
0,25,21,9
0,26,22,9
0,27,22,10
0,28,22,10
0,29,22,10
0,30,22,10
0,31,23,10
0,32,23,10
0,33,23,10
0,34,23,10
0,35,23,11
0,36,23,11
0,37,23,11
0,38,24,12
0,39,24,12
0,40,24,13
0,41,24,13
0,42,24,13
0,43,24,13
0,44,24,12
0,45,23,12
0,46,23,12
0,47,23,13
0,48,23,13
0,49,22,13
0,50,22,13
0,51,22,14
0,52,22,14
0,53,22,14
0,54,21,14
0,55,21,15
0,56,21,15
0,57,21,14
0,58,21,15
0,59,22,15
0,60,22,15
0,61,22,14
0,62,23,14
0,63,23,13
0,64,23,13
0,65,24,13
0,66,24,13
0,67,24,13
0,68,24,13
0,69,24,14
0,70,24,14
0,71,24,14
0,72,24,14
0,73,24,14
0,74,24,13
0,75,24,14
0,76,24,13
0,77,24,13
0,78,24,13
0,79,24,13
0,80,24,13
0,81,24,13
0,82,24,12
0,83,24,12
0,84,24,11
0,85,24,10
0,86,24,10
0,87,23,10
0,88,23,9
0,89,23,9
0,90,24,9
0,91,24,9
0,92,24,9
0,93,24,9
0,94,24,9
0,95,24,8
0,96,23,8
0,97,23,8
0,98,23,8
0,99,22,7
0,100,21,7
0,101,21,7
0,102,20,7
0,103,20,7
0,104,19,6
0,105,19,6
0,106,19,5
0,107,18,5
0,108,18,4
0,109,18,4
0,110,18,4
0,111,18,5
0,112,18,4
0,113,18,4
0,114,19,4
0,115,19,4
0,116,19,4
0,117,20,4
0,118,21,4
0,119,21,4
0,120,21,4
0,121,22,4
0,122,22,4
0,123,23,4
0,124,23,4
0,125,23,5
0,126,24,5
0,127,24,6
1,0,24,6
1,1,24,6
1,2,24,6
1,3,23,6
1,4,23,6
1,5,23,7
1,6,23,7
1,7,23,7
1,8,23,8
1,9,22,8
1,10,22,9
1,11,22,9
1,12,22,9
1,13,21,9
1,14,21,9
1,15,21,8
1,16,21,8
1,17,20,8
1,18,20,8
1,19,20,8
1,20,20,8
1,21,20,9
1,22,20,9
1,23,21,9
1,24,21,9
1,25,21,9
1,26,22,10
1,27,22,10
1,28,22,10
1,29,22,10
1,30,22,11
1,31,22,10
1,32,23,10
1,33,23,10
1,34,23,11
1,35,23,11
1,36,23,12
1,37,23,12
1,38,24,12
1,39,24,12
1,40,24,13
1,41,24,13
1,42,24,13
1,43,24,13
1,44,24,13
